view,projects,tasks,columns,rows,physical_width,physical_height,samples,p50_ms,p95_ms,max_ms
tower,1,50,80,24,640,320,60,1.370,2.007,2.140
tower,1,50,120,36,960,512,60,2.258,2.368,2.434
tower,1,50,192,58,1536,864,60,5.044,5.507,5.773
tower,6,50,80,24,640,320,60,1.783,1.884,1.910
tower,6,50,120,36,960,512,60,4.204,4.504,4.517
tower,6,50,192,58,1536,864,60,10.781,11.280,12.631
tower,20,50,80,24,640,320,60,1.592,1.697,1.700
tower,20,50,120,36,960,512,60,3.792,6.106,7.337
tower,20,50,192,58,1536,864,60,10.050,10.226,10.364
office,1,50,80,24,640,320,60,1.868,2.172,2.530
office,1,50,120,36,960,512,60,4.094,4.314,4.858
office,1,50,192,58,1536,864,60,11.198,13.159,24.303
office,6,50,80,24,640,320,60,1.776,1.850,1.871
office,6,50,120,36,960,512,60,4.035,4.124,4.154
office,6,50,192,58,1536,864,60,11.078,11.378,11.419
office,20,50,80,24,640,320,60,1.769,1.845,1.858
office,20,50,120,36,960,512,60,4.002,4.258,4.568
office,20,50,192,58,1536,864,60,10.605,10.801,10.832
inspector,1,50,80,24,0,0,60,0.072,0.084,0.090
inspector,1,50,120,36,632,512,60,2.775,2.870,2.883
inspector,1,50,192,58,1208,864,60,8.833,9.154,12.326
inspector,6,50,80,24,0,0,60,0.075,0.084,0.137
inspector,6,50,120,36,632,512,60,2.736,2.997,3.105
inspector,6,50,192,58,1208,864,60,8.785,9.101,9.146
inspector,20,50,80,24,0,0,60,0.073,0.075,0.076
inspector,20,50,120,36,632,512,60,2.695,2.790,2.833
inspector,20,50,192,58,1208,864,60,8.539,9.250,10.085
