view,projects,tasks,columns,rows,physical_width,physical_height,samples,p50_ms,p95_ms,max_ms
tower,1,50,80,24,640,320,60,1.445,1.971,2.175
tower,1,50,120,36,960,512,60,2.352,2.453,2.560
tower,1,50,192,58,1536,864,60,4.569,4.675,4.822
tower,6,50,80,24,640,320,60,1.883,2.049,2.131
tower,6,50,120,36,960,512,60,4.412,4.608,4.660
tower,6,50,192,58,1536,864,60,9.028,9.180,9.202
tower,20,50,80,24,640,320,60,1.686,1.764,1.773
tower,20,50,120,36,960,512,60,3.899,4.058,4.094
tower,20,50,192,58,1536,864,60,8.205,8.357,8.377
office,1,50,80,24,640,320,60,1.953,2.016,2.041
office,1,50,120,36,960,512,60,4.457,5.307,6.267
office,1,50,192,58,1536,864,60,7.901,8.100,8.227
office,6,50,80,24,640,320,60,1.876,1.927,1.949
office,6,50,120,36,960,512,60,4.242,4.380,4.472
office,6,50,192,58,1536,864,60,7.769,7.932,8.020
office,20,50,80,24,640,320,60,1.884,2.020,2.068
office,20,50,120,36,960,512,60,4.218,4.455,4.479
office,20,50,192,58,1536,864,60,7.337,7.605,7.642
inspector,1,50,80,24,0,0,60,0.072,0.084,0.146
inspector,1,50,120,36,632,512,60,2.944,3.027,3.192
inspector,1,50,192,58,1208,864,60,6.229,6.449,6.534
inspector,6,50,80,24,0,0,60,0.073,0.086,0.124
inspector,6,50,120,36,632,512,60,2.868,3.014,3.041
inspector,6,50,192,58,1208,864,60,6.219,6.526,6.733
inspector,20,50,80,24,0,0,60,0.073,0.082,0.086
inspector,20,50,120,36,632,512,60,2.870,2.996,3.050
inspector,20,50,192,58,1208,864,60,5.829,5.997,6.107
