frame,time_ms,active_gags,scale
0,8000,2,2
1,8125,2,2
2,8250,2,2
3,8375,2,2
4,8500,2,2
5,8625,2,2
6,8750,2,2
7,8875,2,2
8,9000,2,2
9,9125,2,2
10,9250,2,2
11,9375,2,2
12,9500,2,2
13,9625,2,2
14,9750,2,2
15,9875,2,2
16,10000,2,2
17,10125,2,2
18,10250,2,2
19,10375,2,2
20,10500,2,2
21,10625,2,2
22,10750,2,2
23,10875,2,2
24,11000,2,2
25,11125,2,2
26,11250,2,2
27,11375,2,2
28,11500,2,2
29,11625,2,2
30,11750,2,2
31,11875,2,2
32,12000,2,2
33,12125,2,2
34,12250,2,2
35,12375,2,2
36,12500,2,2
37,12625,2,2
38,12750,2,2
39,12875,2,2
40,13000,2,2
41,13125,2,2
42,13250,2,2
43,13375,2,2
44,13500,2,2
45,13625,2,2
46,13750,2,2
47,13875,2,2
48,14000,2,2
49,14125,2,2
50,14250,2,2
51,14375,2,2
52,14500,2,2
53,14625,2,2
54,14750,2,2
55,14875,2,2
56,15000,2,2
57,15125,2,2
58,15250,2,2
59,15375,2,2
60,15500,2,2
61,15625,2,2
62,15750,2,2
63,15875,2,2
64,16000,2,2
65,16125,2,2
66,16250,2,2
67,16375,2,2
68,16500,2,2
69,16625,2,2
70,16750,2,2
71,16875,2,2
72,17000,2,2
73,17125,2,2
74,17250,2,2
75,17375,2,2
76,17500,2,2
77,17625,2,2
78,17750,2,2
79,17875,2,2
80,18000,2,2
81,18125,2,2
82,18250,2,2
83,18375,2,2
84,18500,2,2
85,18625,2,2
86,18750,2,2
87,18875,2,2
88,19000,2,2
89,19125,2,2
90,19250,2,2
91,19375,2,2
92,19500,2,2
93,19625,2,2
94,19750,2,2
95,19875,2,2
96,20000,2,2
97,20125,2,2
98,20250,2,2
99,20375,2,2
100,20500,2,2
101,20625,2,2
102,20750,2,2
103,20875,2,2
104,21000,2,2
105,21125,2,2
106,21250,2,2
107,21375,2,2
108,21500,2,2
109,21625,2,2
110,21750,2,2
111,21875,2,2
112,22000,2,2
113,22125,2,2
114,22250,2,2
115,22375,2,2
116,22500,2,2
117,22625,2,2
118,22750,2,2
119,22875,2,2
120,23000,2,2
121,23125,2,2
122,23250,2,2
123,23375,2,2
124,23500,2,2
125,23625,2,2
126,23750,2,2
127,23875,2,2
128,24000,0,2
