view,projects,tasks,columns,rows,physical_width,physical_height,samples,p50_ms,p95_ms,max_ms
tower,1,50,80,24,640,336,60,1.378,1.926,2.158
tower,1,50,120,36,960,528,60,2.200,2.274,2.301
tower,1,50,192,58,1536,880,60,4.218,4.486,4.588
tower,6,50,80,24,640,336,60,1.892,1.999,2.114
tower,6,50,120,36,960,528,60,4.496,6.582,10.361
tower,6,50,192,58,1536,880,60,8.625,8.899,9.414
tower,20,50,80,24,640,336,60,1.664,1.765,1.797
tower,20,50,120,36,960,528,60,3.802,3.956,3.959
tower,20,50,192,58,1536,880,60,7.763,7.983,8.039
office,1,50,80,24,640,336,60,1.929,2.001,2.011
office,1,50,120,36,960,528,60,4.038,4.127,4.140
office,1,50,192,58,1536,880,60,7.241,7.398,7.431
office,6,50,80,24,640,336,60,1.869,1.950,2.000
office,6,50,120,36,960,528,60,3.986,4.087,4.159
office,6,50,192,58,1536,880,60,7.190,7.323,7.333
office,20,50,80,24,640,336,60,1.864,1.939,2.035
office,20,50,120,36,960,528,60,3.861,3.956,3.985
office,20,50,192,58,1536,880,60,6.737,6.904,7.030
inspector,1,50,80,24,0,0,60,0.053,0.059,0.066
inspector,1,50,120,36,632,528,60,2.656,2.759,2.817
inspector,1,50,192,58,1016,880,60,4.781,4.942,5.127
inspector,6,50,80,24,0,0,60,0.058,0.067,0.134
inspector,6,50,120,36,632,528,60,2.589,2.695,2.719
inspector,6,50,192,58,1016,880,60,4.701,4.851,4.867
inspector,20,50,80,24,0,0,60,0.060,0.062,0.068
inspector,20,50,120,36,632,528,60,2.586,2.691,2.745
inspector,20,50,192,58,1016,880,60,4.570,4.693,4.725
