elapsed_seconds,rss_kib,cpu_time,cpu_percent,writer_ticks
0.002,3472,0:00.01,0.0,1
30.111,17296,0:00.52,1.4,15
60.198,17440,0:00.96,0.2,30
90.273,17712,0:01.45,2.1,44
120.449,17712,0:01.89,1.3,59
150.483,13344,0:02.31,1.1,73
180.504,13872,0:02.74,0.2,88
210.654,13872,0:03.17,0.7,102
240.673,13888,0:03.60,0.2,117
270.734,13904,0:04.04,1.1,131
300.9,13904,0:04.42,0.2,146
330.923,13904,0:04.78,0.6,160
361.097,14976,0:05.05,1.9,175
391.304,14976,0:05.26,3.0,190
421.509,14976,0:05.47,0.1,204
451.702,14992,0:05.78,0.4,219
481.735,15008,0:06.22,5.0,233
511.806,15008,0:06.53,0.7,248
541.847,15040,0:06.97,2.7,262
571.872,15056,0:07.36,0.4,277
601.886,15088,0:07.82,0.1,291
631.936,15104,0:08.28,0.9,306
661.994,15120,0:08.77,0.1,321
692.193,15200,0:09.17,0.4,335
722.232,17664,0:09.55,3.1,350
752.252,17680,0:10.03,0.7,365
782.452,17696,0:10.48,0.9,380
812.46,17728,0:10.93,0.1,394
842.48,11584,0:11.38,1.3,409
872.493,11584,0:11.83,0.1,424
902.54,11648,0:12.29,1.0,438
932.551,11664,0:12.75,0.2,453
962.663,11680,0:13.17,0.7,468
992.69,11696,0:13.64,0.1,482
1022.704,11728,0:14.11,1.9,497
1052.795,11760,0:14.59,0.5,511
1082.84,11808,0:15.07,2.8,526
1112.887,10768,0:15.44,0.2,540
1143.028,10736,0:15.85,2.7,555
1173.043,10784,0:16.29,0.4,569
1203.226,10464,0:16.63,0.9,584
1233.311,10512,0:17.03,0.0,598
1263.326,10528,0:17.40,0.7,613
1293.517,10560,0:17.87,1.9,628
1323.53,10576,0:18.34,0.5,643
1353.718,10608,0:18.83,1.1,657
1383.742,10624,0:19.20,0.2,672
1413.746,14624,0:19.66,1.2,687
1443.792,14656,0:20.11,0.1,702
1473.979,14672,0:20.54,0.5,716
1504.006,14704,0:21.00,2.9,731
1534.037,14736,0:21.45,0.3,746
1564.199,13728,0:21.94,2.6,760
1594.406,13728,0:22.37,0.2,775
1624.459,13760,0:22.80,1.6,789
1654.534,13792,0:23.21,0.3,804
1684.621,13824,0:23.66,1.4,818
1714.676,13840,0:24.09,0.3,833
1744.856,13872,0:24.53,1.6,848
1774.894,13888,0:25.00,0.4,862
1804.979,13888,0:25.49,1.7,877
1835.067,13920,0:25.95,0.2,891
1865.164,13936,0:26.47,3.6,906
1895.296,13968,0:27.02,1.5,920
1925.391,13984,0:27.52,0.2,935
1955.447,14016,0:28.04,2.4,949
1985.61,14016,0:28.58,0.6,964
2015.727,14064,0:29.16,6.7,978
2045.784,13984,0:29.66,0.6,993
2075.828,13968,0:30.08,0.1,1007
2106.017,14016,0:30.52,1.8,1022
2136.217,14048,0:30.96,3.5,1036
2166.379,14064,0:31.50,1.6,1051
2196.501,14096,0:32.05,0.2,1065
2226.658,14112,0:32.67,3.7,1080
